name,type,race,atk,def,level,attribute,archetype
D.D. Crazy Beast,Effect Monster,Beast,1400,1400,3,EARTH,D.D.
D.D. Crow,Effect Monster,Winged Beast,100,100,1,DARK,D.D.
D.D. Designator,Spell Card,Normal,-1,-1,0,NONE,D.D.
D.D. Destroyer,Effect Monster,Warrior,1000,1000,4,EARTH,D.D.
D.D. Dynamite,Trap Card,Normal,-1,-1,0,NONE,D.D.
D.D. Esper Star Sparrow,Effect Monster,Warrior,3000,1500,10,LIGHT,D.D.
D.D. Guide,Effect Monster,Warrior,1400,1000,4,DARK,D.D.
D.D. Jet Iron,Effect Monster,Machine,4000,0,10,LIGHT,D.D.
D.D. Patrol Plane,Effect Monster,Machine,1200,800,3,DARK,D.D.
D.D. Post,Trap Card,Continuous,-1,-1,0,NONE,D.D.
D.D. Scout Plane,Effect Monster,Machine,800,1200,2,DARK,D.D.
D.D. Seeker,Effect Monster,Psychic,1500,800,3,DARK,D.D.
D.D. Sprite,Tuner Monster,Fairy,0,100,1,LIGHT,D.D.
D.D. Survivor,Effect Monster,Warrior,1800,200,4,DARK,D.D.
D.D. Telepon,Effect Monster,Psychic,500,1800,2,EARTH,D.D.
D.D. Trainer,Normal Monster,Fiend,100,2000,1,DARK,D.D.
D.D. Trap Hole,Trap Card,Normal,-1,-1,0,NONE,Hole
D.D. Unicorn Knight,Effect Monster,Warrior,1800,900,4,LIGHT,D.D.
D.D. Warrior,Effect Monster,Warrior,1200,1000,4,EARTH,D.D.
D.D. Warrior Lady,Effect Monster,Warrior,1500,1600,4,LIGHT,D.D.
D.D.D. - Different Dimension Derby,Trap Card,Normal,-1,-1,0,NONE,D.D.
D.D.M. - Different Dimension Master,Effect Monster,Spellcaster,1700,1500,5,LIGHT,D.D.
D.D.R. - Different Dimension Reincarnation,Spell Card,Equip,-1,-1,0,NONE,D.D.
D/D Ark,Pendulum Effect Monster,Fiend,0,2000,4,DARK,D/D
D/D Berfomet,Effect Monster,Fiend,1400,1800,4,DARK,D/D
D/D Cerberus,Pendulum Effect Monster,Fiend,1800,600,4,DARK,D/D
D/D Count Surveyor,Pendulum Effect Monster,Fiend,2000,2000,8,DARK,D/D
D/D Defense Soldier,Effect Monster,Fiend,0,1800,4,DARK,D/D
D/D Dog,Pendulum Effect Monster,Fiend,2000,2000,6,DARK,D/D
D/D Evil,Pendulum Effect Monster,Fiend,2000,0,4,DARK,D/D
D/D Extra Surveyor,Pendulum Effect Monster,Fiend,1000,0,5,DARK,D/D
D/D Ghost,Tuner Monster,Fiend,600,300,2,DARK,D/D
D/D Gryphon,Pendulum Effect Monster,Fiend,1200,1200,4,DARK,D/D
D/D Lamia,Tuner Monster,Fiend,100,1900,1,DARK,D/D
D/D Lance Soldier,Tuner Monster,Fiend,400,400,2,DARK,D/D
D/D Lilith,Effect Monster,Fiend,100,2100,4,DARK,D/D
D/D Necro Slime,Effect Monster,Fiend,300,300,1,DARK,D/D
D/D Nighthowl,Tuner Monster,Fiend,300,600,3,DARK,D/D
D/D Orthros,Pendulum Tuner Effect Monster,Fiend,600,1800,4,DARK,D/D
D/D Pandora,Effect Monster,Fiend,1700,2100,5,DARK,D/D
D/D Proud Chevalier,Pendulum Effect Monster,Fiend,2000,700,5,DARK,D/D
D/D Proud Ogre,Pendulum Effect Monster,Fiend,2300,1500,6,DARK,D/D
D/D Recruits,Trap Card,Normal,-1,-1,0,NONE,D/D
D/D Reroll,Trap Card,Continuous,-1,-1,0,NONE,D/D
D/D Savant Copernicus,Pendulum Effect Monster,Fiend,0,0,4,DARK,D/D
D/D Savant Galilei,Pendulum Effect Monster,Fiend,0,0,10,DARK,D/D
D/D Savant Kepler,Pendulum Effect Monster,Fiend,0,0,1,DARK,D/D
D/D Savant Newton,Pendulum Effect Monster,Fiend,0,0,7,DARK,D/D
D/D Savant Nikola,Pendulum Effect Monster,Fiend,2000,2000,6,DARK,D/D
D/D Savant Thomas,Pendulum Effect Monster,Fiend,1800,2600,8,DARK,D/D
D/D Scale Surveyor,Pendulum Effect Monster,Fiend,0,1000,2,DARK,D/D
D/D Swirl Slime,Effect Monster,Fiend,200,200,2,DARK,D/D
D/D Vice Typhon,Effect Monster,Fiend,2300,2800,7,DARK,D/D
D/D/D Abyss King Gilgamesh,Link Monster,Fiend,1800,-1,0,DARK,D/D
D/D/D Alfred the Divine Sage King,Fusion Monster,Fiend,1500,2000,6,DARK,D/D
D/D/D Chaos King Apocalypse,Pendulum Effect Monster,Fiend,2700,2000,7,DARK,D/D
D/D/D Contract Change,Trap Card,Normal,-1,-1,0,NONE,D/D
D/D/D Cursed King Siegfried,Synchro Monster,Fiend,2800,2200,8,DARK,D/D
D/D/D Destiny King Zero Laplace,Pendulum Effect Monster,Fiend,-1,0,10,DARK,D/D
D/D/D Deviser King Deus Machinex,XYZ Pendulum Effect Monster,Fiend,3000,3000,10,DARK,D/D
D/D/D Doom King Armageddon,Pendulum Effect Monster,Fiend,3000,1000,8,DARK,D/D
D/D/D Dragon King Pendragon,Effect Monster,Fiend,2600,2400,7,DARK,D/D
D/D/D Dragonbane King Beowulf,Fusion Monster,Fiend,3000,2500,8,DARK,D/D
D/D/D Duo-Dawn King Kali Yuga,XYZ Monster,Fiend,3500,3000,8,DARK,D/D
D/D/D First King Clovis,Synchro Monster,Fiend,2100,1900,6,DARK,D/D
D/D/D Flame High King Genghis,Fusion Monster,Fiend,2800,2400,8,FIRE,D/D
D/D/D Flame King Genghis,Fusion Monster,Fiend,2000,1500,6,FIRE,D/D
D/D/D Gust High King Alexander,Synchro Monster,Fiend,3000,2500,10,WIND,D/D
D/D/D Gust King Alexander,Synchro Monster,Fiend,2500,2000,7,WIND,D/D
D/D/D Headhunt,Trap Card,Normal,-1,-1,0,NONE,D/D
D/D/D Human Resources,Trap Card,Normal,-1,-1,0,NONE,D/D
D/D/D Marksman King Tell,XYZ Monster,Fiend,2300,2000,5,DARK,D/D
D/D/D Oblivion King Abyss Ragnarok,Pendulum Effect Monster,Fiend,2200,3000,8,DARK,D/D
D/D/D Oracle King d'Arc,Fusion Monster,Fiend,2800,2000,7,DARK,D/D
D/D/D Rebel King Leonidas,Pendulum Effect Monster,Fiend,2600,1200,7,DARK,D/D
D/D/D Sky King Zeus Ragnarok,Link Monster,Fiend,2200,-1,0,DARK,D/D
D/D/D Stone King Darius,XYZ Monster,Fiend,1900,1000,3,EARTH,D/D
D/D/D Super Doom King Bright Armageddon,Synchro Pendulum Effect Monster,Fiend,3500,3000,10,DARK,D/D
D/D/D Super Doom King Dark Armageddon,XYZ Pendulum Effect Monster,Fiend,3500,3000,8,DARK,D/D
D/D/D Super Doom King Purple Armageddon,Pendulum Effect Fusion Monster,Fiend,3500,3000,10,DARK,D/D
D/D/D Supersight King Zero Maxwell,Pendulum Effect Monster,Fiend,2800,2500,7,DARK,D/D
D/D/D Supreme King Kaiser,Effect Monster,Fiend,2800,2100,7,DARK,D/D
D/D/D Vice King Requiem,Pendulum Effect Monster,Fiend,2800,2000,8,DARK,D/D
D/D/D Wave High King Caesar,XYZ Monster,Fiend,2800,1800,6,WATER,D/D
D/D/D Wave King Caesar,XYZ Monster,Fiend,2400,1200,4,WATER,D/D
D/D/D Wave Oblivion King Caesar Ragnarok,Fusion Monster,Fiend,3200,3000,10,DARK,D/D
D/D/D Wise King Solomon,XYZ Monster,Fiend,1800,2500,4,DARK,D/D
D/D/D Zero Doom Queen Machinex,Pendulum Effect Monster,Fiend,3000,0,8,DARK,D/D
D/D/D/D Dimensional King Arc Crisis,Pendulum Effect Fusion Monster,Fiend,4000,4000,12,DARK,D/D
D/D/D/D Super-Dimensional Sovereign Emperor Zero Paradox,Pendulum Effect Monster,Fiend,3000,3000,12,DARK,D/D
Daedalus Maelstrom,Trap Card,Counter,-1,-1,0,NONE,Daedalus
Dai-sojo of the Ice Barrier,Effect Monster,Spellcaster,1600,2200,6,WATER,Ice Barrier
Daigusto Eguls,Synchro Monster,Psychic,2600,1800,7,WIND,Gusto
Daigusto Emeral,XYZ Monster,Rock,1800,800,4,WIND,Gusto
Daigusto Falcos,Synchro Monster,Psychic,1400,1200,4,WIND,Gusto
Daigusto Gulldos,Synchro Monster,Psychic,2200,800,5,WIND,Gusto
Daigusto Laplampilica,Synchro Monster,Psychic,1900,2600,6,WIND,Gusto
Daigusto Phoenix,XYZ Monster,Pyro,1500,1100,2,WIND,Gusto
Daigusto Sphreez,Synchro Monster,Psychic,2000,1300,6,WIND,Gusto
"Dakki, the Graceful Mayakashi",Tuner Monster,Zombie,1000,0,2,FIRE,Mayakashi
Dance Princess of the Ice Barrier,Effect Monster,Spellcaster,1700,900,4,WATER,Ice Barrier
Dance Princess of the Nekroz,Effect Monster,Spellcaster,1600,800,4,WATER,Nekroz
Danger! Bigfoot!,Effect Monster,Beast,3000,0,8,DARK,Danger!
Danger! Chupacabra!,Effect Monster,Fiend,1500,400,4,DARK,Danger!
Danger! Disturbance! Disorder!,Spell Card,Field,-1,-1,0,NONE,Danger!
Danger! Dogman!,Effect Monster,Beast-Warrior,2400,1000,7,DARK,Danger!
Danger! Excitement! Mystery!,Spell Card,Normal,-1,-1,0,NONE,Danger!
Danger! Feets of Strength!,Spell Card,Equip,-1,-1,0,NONE,Danger!
Danger! Mothman!,Effect Monster,Insect,1800,400,4,DARK,Danger!
Danger! Nessie!,Effect Monster,Aqua,1600,2800,7,DARK,Danger!
Danger! Ogopogo!,Effect Monster,Sea Serpent,1200,3000,8,DARK,Danger!
Danger! Response Team,Spell Card,Normal,-1,-1,0,NONE,Danger!
Danger! Thunderbird!,Effect Monster,Winged Beast,2800,2400,8,DARK,Danger!
Danger! Zone,Trap Card,Normal,-1,-1,0,NONE,Danger!
Danger!? Jackalope?,Effect Monster,Beast,500,2000,3,DARK,Danger!
Danger!? Tsuchinoko?,Effect Monster,Reptile,1300,0,3,DARK,Danger!
Dangerous Frightfur Nightmary,Fusion Monster,Fiend,2000,3000,10,DARK,Frightfur
Dangers of the Divine,Spell Card,Quick-Play,-1,-1,0,NONE,Ra
Danmari @Ignister,Effect Monster,Cyberse,2300,0,6,DARK,@Ignister
"Dante, Pilgrim of the Burning Abyss",Fusion Monster,Fairy,2800,2500,9,LIGHT,Burning Abyss
"Dante, Traveler of the Burning Abyss",XYZ Monster,Warrior,1000,2500,3,LIGHT,Burning Abyss
Dark Armed Dragon,Effect Monster,Dragon,2800,1000,7,DARK,Armed Dragon
Dark Armed Dragon Punisher,Effect Monster,Dragon,2800,1000,7,DARK,Armed Dragon
Dark Beckoning Beast,Effect Monster,Fiend,0,0,2,DARK,Sacred Beast
Dark Blade,Normal Monster,Warrior,1800,1500,4,DARK,Dark World
Dark Burning Attack,Spell Card,Normal,-1,-1,0,NONE,Dark Magician
Dark Burning Magic,Spell Card,Quick-Play,-1,-1,0,NONE,Dark Magician
Dark Cavalry,Fusion Monster,Spellcaster,2800,2300,8,DARK,Dark Magician
Dark Chimera,Normal Monster,Fiend,1610,1460,5,DARK,PaniK's monsters
Dark City,Spell Card,Field,-1,-1,0,NONE,Destiny HERO
Dark Contact,Spell Card,Normal,-1,-1,0,NONE,Contact
Dark Contract with Errors,Trap Card,Continuous,-1,-1,0,NONE,D/D
Dark Contract with Patent License,Spell Card,Field,-1,-1,0,NONE,Dark Contract
Dark Contract with the Different Dimension,Trap Card,Continuous,-1,-1,0,NONE,Dark Contract
Dark Contract with the Entities,Spell Card,Continuous,-1,-1,0,NONE,D/D
Dark Contract with the Eternal Darkness,Trap Card,Continuous,-1,-1,0,NONE,D/D
Dark Contract with the Gate,Spell Card,Continuous,-1,-1,0,NONE,D/D
Dark Contract with the Swamp King,Spell Card,Continuous,-1,-1,0,NONE,D/D
Dark Contract with the Witch,Trap Card,Continuous,-1,-1,0,NONE,D/D
Dark Contract with the Yamimakai,Spell Card,Continuous,-1,-1,0,NONE,D/D
Dark Contract with the Zero King,Spell Card,Continuous,-1,-1,0,NONE,D/D
Dark Creator,Effect Monster,Fiend,3000,1000,10,DARK,Fan-Made Cards
Dark Dimension Soldier,Synchro Monster,Warrior,1200,2400,5,DARK,D.D.
Dark Doriado,Pendulum Effect Monster,Spellcaster,1800,1400,4,DARK,Dark counterpart
Dark Dragon Ritual,Spell Card,Ritual,-1,-1,0,NONE,Red-Eyes
Dark End Evaporation Dragon,Effect Monster,Dragon,2600,2100,8,DARK,Light and Darkness Dragon
Dark Eradicator Warlock,Effect Monster,Spellcaster,2500,2100,7,DARK,Dark Magician
Dark Flare Knight,Fusion Monster,Warrior,2200,800,6,DARK,Dark Magician
Dark Flare Swordsman,Effect Monster,Warrior,2200,800,6,FIRE,Flame Swordsman
Dark Garnex the Cubic Beast,Effect Monster,Beast,0,0,2,EARTH,Cubic
Dark Grepher,Effect Monster,Warrior,1700,1600,4,DARK,Grepher
Dark Guardian,Effect Monster,Warrior,3800,3800,12,DARK,Guardian
Dark Hole,Spell Card,Normal,-1,-1,0,NONE,Hole
Dark Hole Dragon,Effect Monster,Dragon,3000,2000,8,DARK,Hole
Dark Infant @Ignister,Link Monster,Cyberse,500,-1,0,DARK,@Ignister
Dark Jeroid,Effect Monster,Fiend,1200,1500,4,DARK,Roid
Dark Magic Attack,Spell Card,Normal,-1,-1,0,NONE,Dark Magician
Dark Magic Curtain,Spell Card,Normal,-1,-1,0,NONE,Dark Magician
Dark Magic Expanded,Spell Card,Quick-Play,-1,-1,0,NONE,Dark Magician
Dark Magic Inheritance,Spell Card,Quick-Play,-1,-1,0,NONE,Dark Magician
Dark Magic Mirror Force,Trap Card,Normal,-1,-1,0,NONE,Shining Sarcophagus
Dark Magic Twin Burst,Spell Card,Normal,-1,-1,0,NONE,Dark Magician
Dark Magical Circle,Spell Card,Continuous,-1,-1,0,NONE,Prophecy
Dark Magical Curtain,Spell Card,Quick-Play,-1,-1,0,NONE,Prophecy
Dark Magician,Normal Monster,Spellcaster,2500,2100,7,DARK,Dark Magician
Dark Magician Girl,Effect Monster,Spellcaster,2000,1700,6,DARK,Dark Magician
Dark Magician Girl the Dragon Knight,Fusion Monster,Dragon,2600,1700,7,DARK,Dark Magician
Dark Magician Girl the Magician's Apprentice,Effect Monster,Spellcaster,2000,1700,6,DARK,Dark Magician
Dark Magician Knight,Effect Monster,Warrior,2500,2100,7,DARK,Dark Magician
Dark Magician of Chaos,Effect Monster,Spellcaster,2800,2600,8,DARK,Dark Magician
Dark Magician of Destruction,Fusion Monster,Spellcaster,2800,2600,8,DARK,Magician
Dark Magician the Dragon Knight,Fusion Monster,Dragon,3000,2500,8,DARK,Dark Magician
Dark Magician the Knight of Dragon Magic,Fusion Monster,Dragon,2900,2400,8,DARK,Dark Magician
Dark Magician the Magician of Black Magic,Effect Monster,Spellcaster,2500,2100,7,DARK,Dark Magician
"Dark Magician, the Pharaoh's Servant",Effect Monster,Spellcaster,2500,2100,7,DARK,Dark Magician
Dark Nephthys,Effect Monster,Winged Beast,2400,1600,8,DARK,Nephthys
Dark Paladin,Fusion Monster,Spellcaster,2900,2400,8,DARK,Dark Magician
Dark Rebellion Xyz Dragon of the Four Heavenly Dragons,XYZ Monster,Dragon,2500,2000,4,DARK,Phantom Knights
Dark Resonator,Tuner Monster,Fiend,1300,300,3,DARK,Resonator
Dark Sage,Effect Monster,Spellcaster,2800,3200,9,DARK,Dark Magician
Dark Sanctuary,Spell Card,Field,-1,-1,0,NONE,Spirit Message
Dark Scorpion - Chick the Yellow,Effect Monster,Warrior,1000,1000,3,DARK,Dark Scorpion
Dark Scorpion - Cliff the Trap Remover,Effect Monster,Warrior,1200,1000,3,DARK,Dark Scorpion
Dark Scorpion - Gorg the Strong,Effect Monster,Warrior,1800,1500,5,DARK,Dark Scorpion
Dark Scorpion - Meanae the Thorn,Effect Monster,Warrior,1000,1800,4,DARK,Dark Scorpion
Dark Scorpion Burglars,Effect Monster,Warrior,1000,1000,4,DARK,Dark Scorpion
Dark Scorpion Combination,Trap Card,Normal,-1,-1,0,NONE,Dark Scorpion
Dark Shade,Normal Monster,Fiend,1000,1000,3,WIND,Fan-Made Cards
Dark Simorgh,Effect Monster,Winged Beast,2700,1000,7,DARK,Simorgh
Dark Spell Regeneration,Trap Card,Normal,-1,-1,0,NONE,Egyptian God
Dark Spirit Art - Greed,Trap Card,Normal,-1,-1,0,NONE,Greed
Dark Spirit's Mastery,Spell Card,Normal,-1,-1,0,NONE,Spirit Message
Dark Templar @Ignister,Link Monster,Cyberse,2300,-1,0,DARK,@Ignister
Dark Time Wizard,Spell Card,Quick-Play,-1,-1,0,NONE,Magician
Dark Tuner Catastrogue,Tuner Monster,Fiend,0,0,8,DARK,Dark Tuner
Dark Tuner Nightmare Hand,Tuner Monster,Warrior,0,0,10,DARK,Dark Tuner
Dark World Accession,Spell Card,Quick-Play,-1,-1,0,NONE,Dark World
Dark World Archives,Spell Card,Continuous,-1,-1,0,NONE,Dark World
Dark World Brainwashing,Trap Card,Continuous,-1,-1,0,NONE,Dark World
Dark World Dealings,Spell Card,Normal,-1,-1,0,NONE,Dark World
Dark World Grimoire,Spell Card,Continuous,-1,-1,0,NONE,Dark World
Dark World Lightning,Spell Card,Normal,-1,-1,0,NONE,Dark World
Dark World Punishment,Trap Card,Counter,-1,-1,0,NONE,Dark World
Dark World Puppetry,Spell Card,Quick-Play,-1,-1,0,NONE,Dark World
Darkbishop Archfiend,Effect Monster,Fiend,300,1400,3,WATER,Archfiend
Darklord Amdusc,Effect Monster,Fairy,1800,2800,6,DARK,Darklord
Darklord Asmodeus,Effect Monster,Fairy,3000,2500,8,DARK,Darklord
Darklord Contact,Spell Card,Normal,-1,-1,0,NONE,Darklord
Darklord Dance,Spell Card,Normal,-1,-1,0,NONE,Darklord
Darklord Descent,Trap Card,Normal,-1,-1,0,NONE,Darklord
Darklord Desire,Effect Monster,Fairy,3000,2800,10,DARK,Darklord
Darklord Djehuty,Effect Monster,Fairy,0,0,4,DARK,Darklord
Darklord Edeh Arae,Effect Monster,Fairy,2300,2000,5,DARK,Darklord
Darklord Enchantment,Trap Card,Normal,-1,-1,0,NONE,Darklord
Darklord Eveningstar,Fusion Monster,Fairy,3000,3000,12,DARK,Darklord
Darklord Gulgolet,Effect Monster,Fairy,2400,800,6,DARK,Darklord
Darklord Ixchel,Effect Monster,Fairy,2500,2900,10,DARK,Darklord
Darklord Marie,Effect Monster,Fiend,1700,1200,5,DARK,Darklord
Darklord Morningstar,Effect Monster,Fairy,3000,3000,11,DARK,Darklord
Darklord Nasten,Effect Monster,Fairy,2600,2600,7,DARK,Darklord
Darklord Nergal,Effect Monster,Fairy,2700,2500,8,DARK,Darklord
Darklord Nurse Reficule,Effect Monster,Fairy,1400,600,4,DARK,Darklord
Darklord Rebellion,Trap Card,Normal,-1,-1,0,NONE,Darklord
Darklord Superbia,Effect Monster,Fairy,2900,2400,8,DARK,Darklord
Darklord Tezcatlipoca,Effect Monster,Fairy,2800,2100,9,DARK,Darklord
Darklord Ukoback,Effect Monster,Fairy,700,1000,3,DARK,Darklord
Darklord Uprising,Trap Card,Normal,-1,-1,0,NONE,Darklord
Darklord Zerato,Effect Monster,Fairy,2800,2300,8,DARK,Darklord
"Darkness Metal, the Dragon of Dark Steel",Link Monster,Dragon,2800,-1,0,DARK,Red-Eyes
Darkness Resonator,Tuner Monster,Fiend,1300,300,3,DARK,Resonator
Darknight Parshath,Effect Monster,Fairy,1900,1400,5,DARK,Parshath
Darktellarknight Batlamyus,XYZ Monster,Warrior,2600,550,4,DARK,Tellarknight
Darkuriboh,Effect Monster,Fiend,300,200,1,DARK,Kuriboh
Dawn of the Herald,Spell Card,Ritual,-1,-1,0,NONE,Herald
Deadly Zombie Breath,Trap Card,Normal,-1,-1,0,NONE,Call of the Haunted
Deception of the Sinful Spoils,Spell Card,Continuous,-1,-1,0,NONE,Sinful Spoils
Decode Destruction,Spell Card,Normal,-1,-1,0,NONE,Code Talker
Decode Talker,Link Monster,Cyberse,2300,-1,0,DARK,Code Talker
Decode Talker Extended,Link Monster,Cyberse,2300,-1,0,DARK,Code Talker
Decode Talker Heatsoul,Link Monster,Cyberse,2300,-1,0,FIRE,Code Talker
Decode Talker Integration,Link Monster,Cyberse,2300,-1,0,DARK,Code Talker
Decoyroid,Effect Monster,Machine,300,500,2,WIND,Roid
Dedication through Light and Darkness,Spell Card,Quick-Play,-1,-1,0,NONE,Dark Magician
Deep Dark Trap Hole,Trap Card,Normal,-1,-1,0,NONE,Hole
Deep Sea Artisan,Effect Monster,Sea Serpent,0,500,1,WATER,Deep Sea
Deep Sea Minstrel,Tuner Monster,Sea Serpent,1200,1500,3,WATER,Deep Sea
Deep Sea Repetiteur,Synchro Tuner Monster,Sea Serpent,1800,1500,5,WATER,Deep Sea
Deep Sea Sentry,Effect Monster,Sea Serpent,400,2000,2,WATER,Deep Sea
Deep-Eyes White Dragon,Effect Monster,Dragon,0,0,10,LIGHT,Blue-Eyes
"Deep-Eyes White Dragon, the Blue Abyss",Effect Monster,Dragon,0,0,10,LIGHT,Blue-Eyes
Deepsea Warrior,Effect Monster,Warrior,1600,1800,5,WATER,Umi
Defender of Nephthys,Effect Monster,Spellcaster,1400,200,2,WIND,Nephthys
Defender of the Ice Barrier,Tuner Monster,Aqua,200,1600,3,WATER,Ice Barrier
Defense of the Temple,Spell Card,Normal,-1,-1,0,NONE,Temple of the Kings
Defensive Tactics,Trap Card,Normal,-1,-1,0,NONE,Gladiator Beast
"Deftero Enneacraft - ""alazoneIA""",Pendulum Flip Effect Monster,Machine,100,1000,1,EARTH,Enneacraft
Delg the Dark Monarch,Effect Monster,Spellcaster,2400,1000,6,DARK,Monarch
Delta Crow - Anti Reverse,Trap Card,Normal,-1,-1,0,NONE,Blackwing
Delta The Magnet Warrior,Effect Monster,Rock,1600,1400,4,EARTH,Magnet
Demigod of the Tistina,Effect Monster,Aqua,2000,0,10,LIGHT,Tistina
"Demise, Agent of Armageddon",Ritual Effect Monster,Fiend,1800,1000,4,DARK,Demise
"Demise, King of Armageddon",Ritual Effect Monster,Fiend,2400,2000,8,DARK,Demise
"Demise, Supreme King of Armageddon",Ritual Effect Monster,Fiend,3000,3000,10,DARK,Demise
Demiurge Ema,Effect Monster,Fairy,3300,2000,8,LIGHT,Fan-Made Cards
"Denglong, First of the Yang Zing",Synchro Tuner Monster,Wyrm,0,2800,5,LIGHT,Yang Zing
Des Croaking,Spell Card,Normal,-1,-1,0,NONE,Frog
Des Frog,Effect Monster,Aqua,1900,0,5,WATER,Frog
Des Koala,Flip Effect Monster,Beast,1100,1800,3,DARK,Koala
Designer Frightfur,Trap Card,Normal,-1,-1,0,NONE,Edge Imp
Deskbot 001,Tuner Monster,Machine,500,500,1,EARTH,Deskbot
Deskbot 002,Effect Monster,Machine,500,500,2,EARTH,Deskbot
Deskbot 003,Effect Monster,Machine,500,500,3,EARTH,Deskbot
Deskbot 004,Effect Monster,Machine,500,500,4,EARTH,Deskbot
Deskbot 005,Pendulum Effect Monster,Machine,500,500,5,EARTH,Deskbot
Deskbot 006,Pendulum Effect Monster,Machine,500,500,6,EARTH,Deskbot
Deskbot 007,Pendulum Effect Monster,Machine,500,500,7,EARTH,Deskbot
Deskbot 008,Pendulum Effect Monster,Machine,500,500,8,EARTH,Deskbot
Deskbot 009,Effect Monster,Machine,500,500,9,EARTH,Deskbot
Deskbot Base,Spell Card,Field,-1,-1,0,NONE,Deskbot
Deskbot Jet,Synchro Monster,Machine,500,500,10,EARTH,Deskbot
"Despia, Theater of the Branded",Spell Card,Field,-1,-1,0,NONE,Despia
Despian Comedy,Effect Monster,Fairy,0,2000,1,DARK,Despia
Despian Luluwalilith,Synchro Monster,Spellcaster,2500,2500,12,LIGHT,Despia
Despian Proskenion,Fusion Monster,Fiend,3200,3200,11,LIGHT,Despia
Despian Quaeritis,Fusion Monster,Fiend,2500,2500,8,LIGHT,Despia
Despian Tragedy,Effect Monster,Fairy,400,400,1,DARK,Despia
Desrook Archfiend,Effect Monster,Fiend,1100,1800,3,LIGHT,Archfiend
Destiny Board,Trap Card,Continuous,-1,-1,0,NONE,Spirit Message
Destiny Draw,Spell Card,Normal,-1,-1,0,NONE,Destiny HERO
Destiny End Dragoon,Fusion Monster,Warrior,3000,3000,10,DARK,Destiny HERO
Destiny HERO - Blade Master,Effect Monster,Warrior,300,600,3,DARK,Destiny HERO
Destiny HERO - Captain Tenacious,Effect Monster,Warrior,800,800,3,DARK,Destiny HERO
Destiny HERO - Celestial,Effect Monster,Warrior,1600,1400,4,DARK,Destiny HERO
Destiny HERO - Dangerous,Fusion Monster,Warrior,2000,2600,6,DARK,Destiny HERO
Destiny HERO - Dark Angel,Effect Monster,Warrior,0,0,1,DARK,Destiny HERO
Destiny HERO - Dasher,Effect Monster,Warrior,2100,1000,6,DARK,Destiny HERO
Destiny HERO - Decider,Effect Monster,Warrior,1600,1000,4,DARK,Destiny HERO
Destiny HERO - Defender,Effect Monster,Warrior,100,2700,4,DARK,Destiny HERO
Destiny HERO - Denier,Effect Monster,Warrior,1100,600,3,DARK,Destiny HERO
Destiny HERO - Departed,Effect Monster,Warrior,1000,0,2,DARK,Destiny HERO
Destiny HERO - Destro-Dogma,Effect Monster,Warrior,3400,2400,8,DARK,Destiny HERO
Destiny HERO - Destroyer Phoenix Enforcer,Fusion Monster,Warrior,2500,2100,8,DARK,Destiny HERO
Destiny HERO - Diamond Dude,Effect Monster,Warrior,1400,1600,4,DARK,Destiny HERO
Destiny HERO - Disk Commander,Effect Monster,Warrior,300,300,1,DARK,Destiny HERO
Destiny HERO - Dogma,Effect Monster,Warrior,3400,2400,8,DARK,Destiny HERO
Destiny HERO - Dominance,Fusion Monster,Warrior,2900,2600,10,DARK,Destiny HERO
Destiny HERO - Doom Lord,Effect Monster,Warrior,600,800,3,DARK,Destiny HERO
Destiny HERO - Doom Overlord,Effect Monster,Warrior,600,800,3,DARK,Destiny HERO
Destiny HERO - Double Dude,Effect Monster,Warrior,1000,1000,6,DARK,Destiny HERO
Destiny HERO - Drawhand,Effect Monster,Warrior,1600,800,4,DARK,Destiny HERO
Destiny HERO - Dread Servant,Effect Monster,Warrior,400,700,3,DARK,Destiny HERO
Destiny HERO - Dreadmaster,Effect Monster,Warrior,-1,-1,8,DARK,Destiny HERO
Destiny HERO - Dreadnought Master,Fusion Monster,Warrior,-1,2800,8,DARK,Destiny HERO
Destiny HERO - Dreadnought Servant,Effect Monster,Warrior,400,700,3,DARK,Destiny HERO
Destiny HERO - Dreamer,Effect Monster,Warrior,0,600,1,DARK,Destiny HERO
Destiny HERO - Drilldark,Effect Monster,Warrior,1600,1200,4,DARK,Destiny HERO
Destiny HERO - Dunker,Effect Monster,Warrior,1200,1700,4,DARK,Destiny HERO
Destiny HERO - Dusktopia,Fusion Monster,Warrior,3000,3000,10,DARK,Destiny HERO
Destiny HERO - Dynatag,Effect Monster,Warrior,1000,1000,5,DARK,Destiny HERO
Destiny HERO - Dystopia,Fusion Monster,Warrior,2800,2400,8,DARK,Destiny HERO
Destiny HERO - Fear Monger,Effect Monster,Warrior,1000,1000,4,DARK,Destiny HERO
Destiny HERO - Malicious,Effect Monster,Warrior,800,800,6,DARK,Destiny HERO
Destiny HERO - Plasma,Effect Monster,Warrior,1900,600,8,DARK,Destiny HERO
Destiny Mirage,Trap Card,Normal,-1,-1,0,NONE,Destiny HERO
Destiny Signal,Trap Card,Normal,-1,-1,0,NONE,Destiny HERO
Destruction Dragon,Fusion Monster,Dragon,2000,3000,8,FIRE,Legendary Knight
Destruction Sword Flash,Trap Card,Normal,-1,-1,0,NONE,Destruction Sword
Destruction Sword Memories,Trap Card,Normal,-1,-1,0,NONE,Destruction Sword
Destruction Swordsman Fusion,Spell Card,Quick-Play,-1,-1,0,NONE,Destruction Sword
